,has_gpu,language
https://github.com/light-curve/light-curve-python,no,Python
https://github.com/reizio/reiz.io,no,Python
https://github.com/uclchem/Chemulator,no,Python
https://github.com/mes5k/amap-align,no,C++
https://github.com/sheryl-ai/MetaPred,yes,Python
https://github.com/jsobeck/MOOG_SCAT,no,Fortran
https://github.com/parklab/SCAN2,no,Python
https://github.com/parklab/LiRA,no,R
https://github.com/AlexMikes/AutoFunc,no,Python
https://github.com/fjdu/rac-2d,no,Fortran
https://github.com/fjdu/myRadex,no,Fortran
https://github.com/mkenworthy/exorings,no,Python
https://github.com/lukapecnik/NiaAML,no,Python
https://github.com/RiccardoBiondi/segmentation,yes,Python
https://github.com/mendezVKI/MODULO,no,Python
https://github.com/LCOGT/banzai-nres,no,Python
https://github.com/LCOGT/banzai,no,Python
https://github.com/LCOGT/neoexchange,yes,Python
https://github.com/mentatpsi/OSGenome,no,Python
https://github.com/miriamkw/GluPredKit,no,Python
https://github.com/odelaneau/shapeit5,no,C++
https://github.com/odelaneau/shapeit4,no,C++
https://github.com/odelaneau/GLIMPSE,no,C++
https://github.com/mraveri/tensiometer,no,Python
https://github.com/yangyanli/DO-Conv,yes,Python
https://github.com/openmsi/openmsistream,no,Python
https://github.com/XuhanLiu/DrugEx,yes,Python
https://github.com/jarvist/Julia-Phonons,no,Julia
https://github.com/simpeg/aurora,yes,Python
https://github.com/marberts/piar,no,R
https://github.com/JensUweUlrich/ReadBouncer,yes,C++
https://github.com/mc-imperial/jfs,yes,C++
https://github.com/mc-imperial/multicore-test-harness,yes,C
https://github.com/aarondotter/iso,no,Fortran
https://github.com/gwpy/gwpy,no,Python
https://github.com/BDI-pathogens/OpenABM-Covid19-model-paper,no,Jupyter Notebook
https://github.com/IftachSadeh/ANNZ,no,C++
https://github.com/caselawanalytics/CaseLawAnalytics,no,Jupyter Notebook
https://github.com/Xia-Yijie/Xponge,yes,Python
https://github.com/SouthGreenPlatform/PyRice,no,Jupyter Notebook
https://github.com/Martinsos/edlib,no,C++
https://github.com/marco-oliva/pfp,no,C++
https://github.com/iquasere/UPIMAPI,no,Python
https://github.com/mbonav/Exo_DMC,no,Python
https://github.com/hotokezaka/HeatingRate,no,Jupyter Notebook
https://github.com/astro-friedel/CADRE,no,Python
https://github.com/megbedell/wobble,yes,Jupyter Notebook
https://github.com/DeaglanBartlett/symbolic_pofk,yes,Python
https://github.com/kennethcarrell/ATARRI,no,Python
https://github.com/AlgoLab/shark,no,C++
https://github.com/Michalychforever/CLASS-PT,yes,C
https://github.com/rgerum/pylustrator,no,Python
https://github.com/kgullikson88/Telluric-Fitter,no,Python
https://github.com/kdeck/TTVFast,no,C
https://github.com/AlphonsG/Rainbow-Optical-Flow-For-ALI,yes,Python
https://github.com/baker-laboratory/RoseTTAFold-All-Atom,yes,Python
https://github.com/hildebra/LCA,no,C++
https://github.com/hildebra/sdm,yes,C++
https://github.com/zengzhenhuan/GFNet,yes,Python
https://github.com/r-lib/credentials,no,R
https://github.com/r-lib/gert,no,C
https://github.com/Starlink/palpy,no,Python
https://github.com/Starlink/hds-v5,no,C
https://github.com/Starlink/starlink,yes,Fortran
https://github.com/Starlink/pal,no,C
https://github.com/QEF/q-e,yes,Fortran
https://github.com/neeravkaushal/RIDs-in-WCDs,no,Python
https://github.com/seap-udea/iWander,yes,C
https://github.com/Keck-DataReductionPipelines/KCWI_DRP,no,Python
https://github.com/LBNL-ETA/MSWH,no,Jupyter Notebook
https://github.com/jlustigy/coronagraph,no,Python
https://github.com/feature-engine/feature_engine,no,Python
https://github.com/SMTG-UCL/ShakeNBreak,yes,Python
https://github.com/SMTG-UCL/surfaxe,no,Jupyter Notebook
https://github.com/qmarcou/IGoR,yes,C
https://github.com/engyasin/Offline_MOT,yes,Python
https://github.com/juzikong/photGalIMF,no,Python
https://github.com/galsci/pysm,no,Python
https://github.com/zd1/telseq,no,C++
https://github.com/qboxcode/qbox-public,no,C++
https://github.com/RasmussenLab/vamb,yes,Python
https://github.com/UgoLomoio/gtex_visualizer,no,Python
https://github.com/jonas-fuchs/varVAMP,no,Python
https://github.com/PaulRitsche/DL_Track_US,yes,Python
https://github.com/insilicomedicine/GENTRL,yes,Python
https://github.com/kadyb/rgugik,no,R
https://github.com/florian-lienhard/MM-LSD,no,Jupyter Notebook
https://github.com/ChenYangyao/hipp,yes,C++
https://github.com/ec-jrc/nrt,no,Python
https://github.com/nickelnine37/pykronecker,yes,Python
https://github.com/LuisScoccola/persistable,no,Python
https://github.com/FabioRigamonti/BANG,yes,Python
https://github.com/cmayer/BaitFisher-package,no,C++
https://github.com/oruhnau/when2heat,no,Python
https://github.com/spglib/spgrep,no,Python
https://github.com/kpenev/poet,yes,C++
https://github.com/walaj/svaba,no,C++
https://github.com/walaj/SeqLib,yes,C++
https://github.com/bluesky/bluesky,no,Python
https://github.com/CSUBioGroup/GraphLncLoc,yes,Python
https://github.com/bxia888/CEFCIG,yes,Python
https://github.com/sntioudis/papreca,yes,C++
https://github.com/olivecha/guitarsounds,no,Python
https://github.com/smoh/kinesis,no,Jupyter Notebook
https://github.com/qiime2/q2-vsearch,no,Python
https://github.com/mithun218/GiNaCDE,yes,C++
https://github.com/lpfworld/DMPNet,yes,Python
https://github.com/martinlackner/abcvoting,no,Python
https://github.com/amoradinejad/limHaloPT,no,C
https://github.com/NLESC-JCER/QMCTorch,yes,Python
https://github.com/NLESC-JCER/QMCblip,no,Python
https://github.com/NLESC-JCER/EigenCuda,yes,C++
https://github.com/NLESC-JCER/Fortran_Davidson,no,Fortran
https://github.com/flintproject/Flint,yes,C++
https://github.com/vsquicciarini/madys,no,Python
https://github.com/zhangxn1026/a-scheme-that-combines-Srun-job-submission-mode-Sbatch-job-submission-mode-and-Monitor-function-SSM-,no,Python
https://github.com/frescigno/magpy_rv,no,Jupyter Notebook
https://github.com/PyFstat/PyFstat,yes,Python
https://github.com/MJTemple/qsogen,no,Python
https://github.com/FCS-analysis/PyScanFCS,no,Python
https://github.com/FCS-analysis/PyCorrFit,yes,Python
https://github.com/ICRAR/ProFit,yes,C++
https://github.com/ICRAR/libprofit,yes,C++
https://github.com/ICRAR/shark,no,C++
https://github.com/miniufo/xinvert,yes,Python
https://github.com/PetervanLunteren/EcoAssist,yes,Python
https://github.com/ClusterMonteCarlo/CMC-COSMIC,yes,C
https://github.com/tldr-group/taufactor,yes,Jupyter Notebook
https://github.com/semaphoreP/whereistheplanet,no,Python
https://github.com/pawni/BayesByHypernet,yes,Jupyter Notebook
https://github.com/DeepRegNet/DeepReg,yes,Python
https://github.com/mudit-jain90/i-SPin,no,Python
