,has_gpu,language
https://github.com/light-curve/light-curve,False,Rust
https://github.com/light-curve/light-curve-python,False,Python
https://github.com/reizio/reiz.io,False,Python
https://github.com/uclchem/Chemulator,False,Python
https://github.com/mes5k/amap-align,False,C++
https://github.com/sheryl-ai/MetaPred,True,Python
https://github.com/jsobeck/MOOG_SCAT,False,Fortran
https://github.com/parklab/SCAN2,False,Python
https://github.com/parklab/LiRA,False,R
https://github.com/AstrobioMike/GToTree,False,Shell
https://github.com/AlexMikes/AutoFunc,False,Python
https://github.com/fjdu/rac-2d,False,Fortran
https://github.com/fjdu/myRadex,False,Fortran
https://github.com/mkenworthy/exorings,False,Python
https://github.com/lukapecnik/NiaAML,False,Python
https://github.com/RiccardoBiondi/segmentation,True,Python
https://github.com/mendezVKI/MODULO,False,Python
https://github.com/LCOGT/banzai-nres,False,Python
https://github.com/LCOGT/banzai,False,Python
https://github.com/LCOGT/neoexchange,True,Python
https://github.com/mentatpsi/OSGenome,False,Python
https://github.com/esteinig/nanoq,False,Rust
https://github.com/miriamkw/GluPredKit,False,Python
https://github.com/odelaneau/shapeit5,False,C++
https://github.com/odelaneau/shapeit4,False,C++
https://github.com/odelaneau/GLIMPSE,False,C++
https://github.com/mraveri/tensiometer,False,Python
https://github.com/yangyanli/DO-Conv,True,Python
https://github.com/TORCH-Consortium/MAGMA,False,Nextflow
https://github.com/openmsi/openmsistream,False,Python
https://github.com/XuhanLiu/DrugEx,True,Python
https://github.com/jarvist/Julia-Phonons,False,Julia
https://github.com/simpeg/aurora,True,Python
https://github.com/jspsych/jsPsych,True,TypeScript
https://github.com/marberts/piar,False,R
https://github.com/JensUweUlrich/ReadBouncer,True,C++
https://github.com/mc-imperial/jfs,True,C++
https://github.com/mc-imperial/multicore-test-harness,True,C
https://github.com/mc-imperial/gpuverify,True,C#
https://github.com/aarondotter/iso,False,Fortran
https://github.com/gwpy/gwpy,False,Python
https://github.com/BDI-pathogens/OpenABM-Covid19-model-paper,False,Jupyter Notebook
https://github.com/IftachSadeh/ANNZ,False,C++
https://github.com/caselawanalytics/CaseLawAnalytics,False,Jupyter Notebook
https://github.com/Xia-Yijie/Xponge,True,Python
https://github.com/SouthGreenPlatform/PyRice,False,Jupyter Notebook
https://github.com/Martinsos/edlib,False,C++
https://github.com/marco-oliva/pfp,False,C++
https://github.com/iquasere/UPIMAPI,False,Python
https://github.com/mbonav/Exo_DMC,False,Python
https://github.com/hotokezaka/HeatingRate,False,Jupyter Notebook
https://github.com/astro-friedel/CADRE,False,Python
https://github.com/megbedell/wobble,True,Jupyter Notebook
https://github.com/DeaglanBartlett/symbolic_pofk,True,Python
https://github.com/kennethcarrell/ATARRI,False,Python
https://github.com/AlgoLab/shark,False,C++
https://github.com/Michalychforever/CLASS-PT,True,C
https://github.com/rgerum/pylustrator,False,Python
https://github.com/kgullikson88/Companion-Finder,False,TeX
https://github.com/kgullikson88/Telluric-Fitter,False,Python
https://github.com/kdeck/TTVFast,False,C
https://github.com/AlphonsG/Rainbow-Optical-Flow-For-ALI,True,Python
https://github.com/baker-laboratory/RoseTTAFold-All-Atom,True,Python
https://github.com/hildebra/LCA,False,C++
https://github.com/hildebra/sdm,True,C++
https://github.com/zengzhenhuan/GFNet,True,Python
https://github.com/r-lib/credentials,False,R
https://github.com/r-lib/gert,False,C
https://github.com/Starlink/aspic,False,FORTRAN
https://github.com/Starlink/palpy,False,Python
https://github.com/Starlink/perl-Starlink-Autoastrom,False,Perl
https://github.com/Starlink/hds-v5,False,C
https://github.com/Starlink/ORAC-DR,True,Perl
https://github.com/Starlink/starlink,True,Fortran
https://github.com/Starlink/starjava,True,HTML
https://github.com/Starlink/pal,False,C
https://github.com/QEF/q-e,True,Fortran
https://github.com/neeravkaushal/RIDs-in-WCDs,False,Python
https://github.com/seap-udea/iWander,True,C
https://github.com/geza-kovacs/tran_k2,False,Shell
https://github.com/Keck-DataReductionPipelines/KcwiDRP,True,IDL
https://github.com/Keck-DataReductionPipelines/KCWI_DRP,False,Python
https://github.com/LBNL-ETA/MSWH,False,Jupyter Notebook
https://github.com/MarkMageeAstro/Riddler,False,PureBasic
https://github.com/jlustigy/coronagraph,False,Python
https://github.com/feature-engine/feature_engine,False,Python
https://github.com/SMTG-UCL/ShakeNBreak,True,Python
https://github.com/SMTG-UCL/surfaxe,False,Jupyter Notebook
https://github.com/qmarcou/IGoR,True,C
https://github.com/engyasin/Offline_MOT,True,Python
https://github.com/juzikong/photGalIMF,False,Python
https://github.com/galsci/pysm,False,Python
https://github.com/zd1/telseq,False,C++
https://github.com/DidierMurilloF/FielDHub,False,HTML
https://github.com/qboxcode/qbox-public,False,C++
https://github.com/RasmussenLab/vamb,True,Python
https://github.com/UgoLomoio/gtex_visualizer,False,Python
https://github.com/jonas-fuchs/varVAMP,False,Python
https://github.com/PaulRitsche/DL_Track_US,True,Python
https://github.com/insilicomedicine/GENTRL,True,Python
https://github.com/kadyb/rgugik,False,R
https://github.com/florian-lienhard/MM-LSD,False,Jupyter Notebook
https://github.com/ChenYangyao/hipp,True,C++
https://github.com/MelanieKahl/MechAnalyze,False,MATLAB
https://github.com/ec-jrc/nrt,False,Python
https://github.com/nickelnine37/pykronecker,True,Python
https://github.com/AdrianA-T/cytomorph,False,
https://github.com/LuisScoccola/persistable,False,Python
https://github.com/FabioRigamonti/BANG,True,Python
https://github.com/cinemascience/cinema_snap,False,JavaScript
https://github.com/cmayer/BaitFisher-package,False,C++
https://github.com/oruhnau/when2heat,False,Python
https://github.com/spglib/spgrep,False,Python
https://github.com/kpenev/poet,True,C++
https://github.com/walaj/svaba,False,C++
https://github.com/walaj/SeqLib,True,C++
https://github.com/bluesky/bluesky,False,Python
https://github.com/CSUBioGroup/GraphLncLoc,True,Python
https://github.com/bxia888/CEFCIG,True,Python
https://github.com/sntioudis/papreca,True,C++
https://github.com/olivecha/guitarsounds,False,Python
https://github.com/smoh/kinesis,False,Jupyter Notebook
https://github.com/qiime2/q2-vsearch,False,Python
https://github.com/mithun218/GiNaCDE,True,C++
https://github.com/lpfworld/DMPNet,True,Python
https://github.com/martinlackner/abcvoting,False,Python
https://github.com/amoradinejad/limHaloPT,False,C
https://github.com/NLESC-JCER/QMCTorch,True,Python
https://github.com/NLESC-JCER/QMCblip,False,Python
https://github.com/NLESC-JCER/EigenCuda,True,C++
https://github.com/NLESC-JCER/Fortran_Davidson,False,Fortran
https://github.com/flintproject/Flint,True,C++
https://github.com/vsquicciarini/madys,False,Python
https://github.com/zhangxn1026/a-scheme-that-combines-Srun-job-submission-mode-Sbatch-job-submission-mode-and-Monitor-function-SSM-,False,Python
https://github.com/PathwayCommons/grounding-search,False,JavaScript
https://github.com/frescigno/magpy_rv,False,Jupyter Notebook
https://github.com/PyFstat/PyFstat,True,Python
https://github.com/MJTemple/qsogen,False,Python
https://github.com/FCS-analysis/PyScanFCS,False,Python
https://github.com/FCS-analysis/PyCorrFit,True,Python
https://github.com/ICRAR/ProFit,True,C++
https://github.com/ICRAR/libprofit,True,C++
https://github.com/ICRAR/shark,False,C++
https://github.com/miniufo/xinvert,True,Python
https://github.com/PetervanLunteren/EcoAssist,True,Python
https://github.com/ClusterMonteCarlo/CMC-COSMIC,True,C
https://github.com/tldr-group/taufactor,True,Jupyter Notebook
https://github.com/tldr-group/samba-web,True,TypeScript
https://github.com/semaphoreP/whereistheplanet,False,Python
https://github.com/pawni/BayesByHypernet,True,Jupyter Notebook
https://github.com/DeepRegNet/DeepReg,True,Python
https://github.com/mudit-jain90/i-SPin,False,Python
https://github.com/nivha/three_body_integration,False,Python
https://github.com/gijut/gnucash,True,C
https://github.com/smaret/thindisk,False,Python
